index row col crate slot
319 10 19 2 7
320 10 20 2 8
321 10 21 2 8
322 10 22 2 8
323 10 23 2 8
324 10 24 2 8
325 10 25 2 8
326 10 26 2 8
327 10 27 2 8
328 10 28 2 8
329 10 29 2 8
330 11 0 2 8
331 11 1 2 8
332 11 2 2 8
333 11 3 2 8
334 11 4 2 8
335 11 5 2 8
336 11 6 2 9
337 11 7 2 9
338 11 8 2 9
339 11 9 2 9
340 11 10 2 9
341 11 11 2 9
342 11 12 2 9
343 11 13 2 9
344 11 14 2 9
345 11 15 2 9
346 11 16 2 9
347 11 17 2 9
348 11 18 2 9
349 11 19 2 9
350 11 20 2 9
351 11 21 2 9
352 11 22 2 10
353 11 23 2 10
354 11 24 2 10
355 11 25 2 10
356 11 26 2 10
357 11 27 2 10
358 11 28 2 10
359 11 29 2 10
360 12 0 2 10
361 12 1 2 10
362 12 2 2 10
363 12 3 2 10
364 12 4 2 10
365 12 5 2 10
366 12 6 2 10
367 12 7 2 10
368 12 8 2 13
369 12 9 2 13
370 12 10 2 13
371 12 11 2 13
372 12 12 2 13
373 12 13 2 13
374 12 14 2 13
375 12 15 2 13
376 12 16 2 13
377 12 17 2 13
378 12 18 2 13
379 12 19 2 13
380 12 20 2 13
381 12 21 2 13
382 12 22 2 13
383 12 23 2 13
384 12 24 2 14
385 12 25 2 14
386 12 26 2 14
387 12 27 2 14
388 12 28 2 14
389 12 29 2 14
390 13 0 2 14
391 13 1 2 14
392 13 2 2 14
393 13 3 2 14
394 13 4 2 14
395 13 5 2 14
396 13 6 2 14
397 13 7 2 14
398 13 8 2 14
399 13 9 2 14
400 13 10 2 15
401 13 11 2 15
402 13 12 2 15
403 13 13 2 15
404 13 14 2 15
405 13 15 2 15
406 13 16 2 15
407 13 17 2 15
408 13 18 2 15
409 13 19 2 15
410 13 20 2 15
411 13 21 2 15
412 13 22 2 15
413 13 23 2 15
414 13 24 2 15
415 13 25 2 15
416 13 26 2 16
417 13 27 2 16
418 13 28 2 16
419 13 29 2 16
420 14 0 2 16
421 14 1 2 16
422 14 2 2 16
423 14 3 2 16
424 14 4 2 16
425 14 5 2 16
426 14 6 2 16
427 14 7 2 16
428 14 8 2 16
429 14 9 2 16
430 14 10 2 16
431 14 11 2 16
432 14 12 2 17
433 14 13 2 17
434 14 14 2 17
435 14 15 2 17
436 14 16 2 17
437 14 17 2 17
438 14 18 2 17
439 14 19 2 17
440 14 20 2 17
441 14 21 2 17
442 14 22 2 17
443 14 23 2 17
444 14 24 2 17
445 14 25 2 17
446 14 26 2 17
447 14 27 2 17
448 14 28 2 18
449 14 29 2 18
450 15 0 2 18
451 15 1 2 18
452 15 2 2 18
453 15 3 2 18
454 15 4 2 18
455 15 5 2 18
456 15 6 2 18
457 15 7 2 18
458 15 8 2 18
459 15 9 2 18
460 15 10 2 18
461 15 11 2 18
462 15 12 2 18
463 15 13 2 18
464 15 14 2 19
465 15 15 2 19
466 15 16 2 19
467 15 17 2 19
468 15 18 2 19
469 15 19 2 19
470 15 20 2 19
471 15 21 2 19
472 15 22 2 19
473 15 23 2 19
474 15 24 2 19
475 15 25 2 19
476 15 26 2 19
477 15 27 2 19
478 15 28 2 19
479 15 29 2 19
480 16 0 3 3
481 16 1 3 3
482 16 2 3 3
483 16 3 3 3
484 16 4 3 3
485 16 5 3 3
486 16 6 3 3
487 16 7 3 3
488 16 8 3 3
489 16 9 3 3
490 16 10 3 3
491 16 11 3 3
492 16 12 3 3
493 16 13 3 3
494 16 14 3 3
495 16 15 3 3
496 16 16 3 4
497 16 17 3 4
498 16 18 3 4
499 16 19 3 4
500 16 20 3 4
501 16 21 3 4
502 16 22 3 4
503 16 23 3 4
504 16 24 3 4
505 16 25 3 4
506 16 26 3 4
507 16 27 3 4
508 16 28 3 4
509 16 29 3 4
510 17 0 3 4
511 17 1 3 4
512 17 2 3 5
513 17 3 3 5
514 17 4 3 5
515 17 5 3 5
516 17 6 3 5
517 17 7 3 5
518 17 8 3 5
519 17 9 3 5
520 17 10 3 5
521 17 11 3 5
522 17 12 3 5
523 17 13 3 5
524 17 14 3 5
525 17 15 3 5
